"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00167",197.232926157488,-0.108097517403642,0.161998788771901,-0.66727361496416,0.504597376714387,0.998912159871704
"AQUIFEX_00168",242.188976151384,0.0192907236287613,0.148330440380757,0.130052358634162,0.896525002207219,0.998912159871704
"AQUIFEX_00169",250.909883489524,-0.0587439553798316,0.157062280411899,-0.374016951910889,0.708391704190228,0.998912159871704
"AQUIFEX_00170",125.089265158185,0.168697768612878,0.205231272003248,0.821988612974184,0.411083377718098,0.998912159871704
"AQUIFEX_00171",121.330924949775,-0.248429478134578,0.211286898613895,-1.17579215637292,0.239677941508482,0.998912159871704
"AQUIFEX_00172",227.213971539205,0.0521480345719485,0.155337021422058,0.335708990004772,0.737090325848167,0.998912159871704
"AQUIFEX_00173",178.764264566337,-0.111433459120474,0.171818323543087,-0.648553989019281,0.516626703537565,0.998912159871704
"AQUIFEX_00174",591.228878344113,-0.0277795586721558,0.0955520101599627,-0.290727098526241,0.771260044731144,0.998912159871704
"AQUIFEX_00175",150.811744142129,0.0587234844202726,0.189689978388677,0.30957610369878,0.756883330617909,0.998912159871704
"AQUIFEX_00176",185.752080740117,-0.0605563306687074,0.166568928384963,-0.363551181218826,0.716193187302665,0.998912159871704
"AQUIFEX_00177",82.8890217682424,-0.102840383249876,0.255707629698076,-0.402179564885503,0.687551880301234,0.998912159871704
"AQUIFEX_00178",81.896061202365,0.0366098297517031,0.254122417948284,0.144063754970069,0.885450125447521,0.998912159871704
"AQUIFEX_00179",129.582495501092,0.107160765294213,0.204750050243906,0.523373572639221,0.600714311149751,0.998912159871704
"AQUIFEX_00180",283.623701150289,-0.0340604144083378,0.138980213889253,-0.245073837888025,0.806399259655043,0.998912159871704
"AQUIFEX_00181",397.739938315234,0.119272582231549,0.117854360778289,1.01203367821007,0.311521950987203,0.998912159871704
"AQUIFEX_00182",312.592173048373,0.130662686135783,0.132926833290287,0.982966966875989,0.325623696755557,0.998912159871704
"AQUIFEX_00183",91.6281235198518,-0.179602692244474,0.238923285249372,-0.751716987555301,0.452221272354051,0.998912159871704
"AQUIFEX_00184",480.626019835435,0.0569480195294929,0.106900979225797,0.53271747314126,0.594229168824057,0.998912159871704
"AQUIFEX_00185",0,NA,NA,NA,NA,NA
"AQUIFEX_00186",423.445910794929,0.0627581802869211,0.114662015814943,0.547331911451904,0.584150723926829,0.998912159871704
"AQUIFEX_00187",0,NA,NA,NA,NA,NA
"AQUIFEX_00188",284.877034051573,0.0495512182810006,0.137697418421254,0.359855826268362,0.71895495253621,0.998912159871704
"AQUIFEX_00189",210.228660802419,-0.0328316282063797,0.157588739094624,-0.20833740021656,0.834965531117275,0.998912159871704
"AQUIFEX_00190",250.17150860871,0.0418214361958294,0.145965231653606,0.286516423959624,0.774482616007993,0.998912159871704
"AQUIFEX_00191",145.307301581957,-0.00840764148338788,0.18994261642424,-0.0442641132446511,0.964693877104165,0.998912159871704
"AQUIFEX_00192",245.183294270508,-0.0514571560197072,0.148600806666602,-0.346277770450839,0.729133973030329,0.998912159871704
"AQUIFEX_00193",315.075827978681,-0.112866147755056,0.132080232656147,-0.854527172501941,0.392812960321447,0.998912159871704
